,BIOMETRIC,IMEI,IMSI
0,1863b70a-58b1-414a-a50a-1f9f482b55a1,572116303563002,115792955991353
1,3d8a68d6-3a42-48c3-9134-9bc1c2c3cc9f,552737236269881,784116207496976
2,c29ceed3-3999-4070-9fc7-3c50e38150ed,281205116458737,480498943398840
3,78876b9f-c71d-4649-a9dd-d7518d5b2282,479991907322938,439686108966707
4,7d23c0cb-9da9-461f-987b-0cc066cf2a05,358694304555177,626212732185460
5,807f58f7-895b-43ce-83ec-eaeced5832d8,384937275421645,482009787097399
6,8563b594-5d42-429c-8a72-af5086af3be0,798382073206638,897521623672419
7,17c3002d-d45d-4ac8-88c0-acca10e7e8a1,984821379998170,231611094151818
8,1f888dd1-60cf-42de-8edd-e8dcad392cea,128907452313222,156861040656856
9,094599d3-351c-45c4-b1ed-987fa253426a,041768407324851,813760586286149
10,6469b660-4ca3-44c4-bce5-f7c6bc5dd7ee,749931197653123,218052263036301
11,422ce9f2-5d5c-4c28-8310-dd451acc2a73,162258803678834,772622130948434
12,4cb04d27-e6a7-4d48-bb1d-b3ea95e3063e,037981160963920,788317728609668
13,07354b19-0160-4b3f-9b74-d254fb03aed5,696846669788705,304014260921391
14,279e2dcd-d21c-450c-beae-ca690d5fd500,836424884199857,162354253836475
15,f25484ba-3196-4d92-b342-e8f46e2b9c76,006215153706367,706145974710058
16,e5030775-d012-4276-8c68-fd35c6ebe969,794878336687718,589227845863737
17,4417d30e-100e-45fb-b176-bb9f3a3c1625,311722624084658,874112539682330
18,d700bc1b-03a8-46de-8f37-415847cb1422,377691753308693,489582000663566
19,59774d51-4d81-4876-aa50-16ae6896c232,439183214455252,171323452149605
20,072a23c5-a57c-4ced-9a8e-5517deb10f5f,436979140054975,577893631110181
21,4702ba16-66f4-4fe5-abd9-28b10d20c08b,471248805631486,739256772308289
22,b319ba07-4576-47c8-b0bb-4e1c450af4bf,493681886751133,567558289772966
23,022cdede-a799-4e67-bde6-da2eb5e962f3,793273857635227,450690032845590
24,fe870f22-ea54-412f-b228-af779b2be9a8,468100996410219,311595020300558
25,bdfd22a7-791a-4a17-ab73-aafbd9333515,235027547065428,406145689860464
26,4ab3d4a9-519b-49fc-bdf4-9725151c5616,494756408739159,892094556007981
27,787d5caa-225e-4ed9-a2d7-411924a487e3,997151044230908,186610657635465
28,9d7e4a5d-dec9-422d-8137-d5a36ccf2856,144933803095994,072442350592209
29,8d1a589a-6b5d-42fd-b350-11f99e9b4334,693422103684902,702426921248962
30,b3b468c9-0785-45fa-9200-6ef652c5e766,617487334001728,203275337865512
31,6d4aee2a-c16f-4a5f-9387-070905eba1a6,005656167562336,530370182680781
32,8037ef4b-5a89-4692-b1ce-d7ed15a78b3f,130056511259209,850305966734944
33,bc99d5e0-3cb9-432a-a21a-15ddf10504c6,761889856887671,931902641092781
34,e1ed93ba-001e-4855-aaeb-f2e7abf96089,309415843871908,234048096988374
35,90e0daea-e35b-40b6-801f-bcaae7ad7648,372183678381461,147394116171686
36,4e647588-9b1e-4cf7-bd86-dfa721f35fde,341936485078868,561534629804818
37,fc0f86e8-1be8-46e7-b503-2bfc806ed411,865107001236045,221520008258188
38,c9a5052a-6425-470a-9107-d51965a46360,779561563634601,636808542673667
39,b20da010-a3fa-469d-8a41-c8b267e09860,029559865409971,209617081013138
40,f16194fc-7cc4-4be1-9261-c0627b157721,078474903917225,767920944120177
41,eb0dc2b9-d733-420f-91af-644d0db53f0a,463177518512619,646544766039604
42,8f97360d-0667-4b97-9f02-c4f69e780946,212724627227303,771423197318124
43,3c5f6d0b-fb64-40d2-b027-ad9268fe6a92,976929899460900,091109267974586
44,5ba45c13-0e89-4828-8803-7803f481e9c4,695033204381813,682994749862574
45,2002d50f-16bc-4b04-b0b6-d351b83e0d4f,907325787892942,598710824946456
46,edb18064-9cf5-4a5d-992d-21f3095e7989,433154659205535,669423920542296
47,0e6edda7-fc35-412e-8bab-4a14a903b3c7,967045373174307,597235969704924
48,94161afe-e094-467b-ab5a-3ef7b59e06ff,485084377794674,132635265762179
49,12d7ab95-e150-4d5a-a2a1-5be24e8cc95e,103004580984963,527340339505726
50,38020088-0007-47ab-b5d7-c0540d08eca2,197948756713424,537394066239068
51,3c3029a1-07f0-40fd-8c96-89da9e4ade60,986070194747915,027295664822303
52,d55ac42a-a39f-4e80-a096-a42632d3f47a,142552831896921,572060180837735
53,f5bc0789-95e5-4147-843d-aa8f11d85258,376134165970852,974097481941566
54,6556bf45-9e66-4787-9e2d-28aa55189308,258170383661883,076920219236599
55,98612bad-bba2-4ccb-be74-63e0cacbd007,739216872843494,616805132604719
56,c71a9710-8970-4dfe-aef7-21dc8f86fb83,270245309106781,474165513204424
57,14578294-b88e-434e-9f90-ac5d21711068,972877829095867,450562159482081
58,0ba6e8f6-87e8-4afe-bac2-97f0a9d73226,038103357697727,849880198033994
59,39ef35a6-51bd-45aa-bd7e-1ab7d14e8643,813938513219499,003879474530198
60,7eff6fae-f4d8-4711-82bc-f1189e2f807a,230814656285895,662009168054299
61,87e5f6fe-6d08-46c0-818b-d52c79295c9c,584349823901646,120152788391612
62,368e83fe-42e2-4f46-9993-534a16b30ac7,401664853877365,011339461332838
63,2f729361-266c-422b-91bb-c1d7c9d02660,481556445214603,182581550772575
64,8657505d-fb90-4cb9-aee6-d0074c681582,186377901965577,065609942239019
65,bd006245-caf6-4a6c-af7e-e7e3afd53161,996156767144066,090632096164245
66,f18f45c4-afb0-4b66-b0bf-7e4be319f426,581289480025087,675135746928313
67,504f13e7-30de-429c-a077-808a5d356a21,994293868360857,133394868636938
68,18e0c090-835a-4a6a-8c88-0fabc0396735,088198769600006,493568915348141
69,94071751-7bf0-4830-bdaa-00f59f482aed,645347799419819,578396468122145
70,d96ee9db-faa2-49e7-a471-356288b91b28,461569882212395,826570889395431
71,c8d351c2-f938-41b6-8357-b989f0286a4d,991597410900903,975666307931600
72,7282dc11-a070-4064-8b02-985b4ea947a7,950618395828142,189429805980849
73,2dbfe1ed-2ea1-49a1-9b8b-79640910f80f,802282861563430,694808554760488
74,baa8c62d-2036-4984-bbb7-d39c754e28bd,012040866658691,680992058311730
75,98a4a7e1-6c2d-425f-ad96-a6d21a96b867,787938608098669,241814307929486
76,948bf5e7-bf41-463a-812c-b3a81782a9d6,564642354290322,277331874972977
77,1d073986-91a0-4658-8ee8-cb1b64002f39,132825492014834,234320830043879
78,beb13746-66ab-4f51-8ca6-3d2d9fe84029,152630313889724,381769925343832
79,6e7525eb-a803-4b1b-8607-e62969c12126,938742272742925,109099303831801
80,30addf91-8ce2-49a6-be8b-a46b4fea6739,269576375738907,556378393716150
81,da482317-d2ef-440b-bfa6-a2aee5966c62,951163470618893,413189466440230
82,3b11287f-0971-463e-b40a-d979689f4274,934145288727804,945975809677366
83,87fa5d91-604c-40df-b015-10d88bcc4220,488358494808279,190936886550047
84,69fde796-a060-4f44-812c-d263aa22a9f6,249266039351375,382918228985656
85,68f08421-64cd-4213-bac4-ce507945c75b,606693232947818,815880598394045
86,e1184127-66c6-4bc9-bf8d-6b63ba894712,660548179270296,143488041153518
87,cf13fc87-efd8-4a66-9d63-85104cb1efb7,178628475151047,281958560953443
88,0f092498-1b4a-4983-a723-95ea040dca7b,340074780547067,700472938037320
89,b1c77c9a-64e4-4ade-9aa1-868f3a498974,112657025627342,021117331635979
90,bdb9a681-8356-4cf4-9783-0580e612463e,987032776411806,488556727908125
91,0bfe76fd-daba-4261-b8df-38859e69b4aa,428649971852981,040425123924190
92,c9c5f4e7-5754-4711-8bdd-effbaca5d1ef,954186963225454,563498984774168
93,87466d9e-7883-42d8-8b42-fb18760a1f95,857545148607540,098096193504131
94,a597190d-f6da-46fd-a913-72ac9ad8920b,962118542279054,025542771650215
95,abdaa7e7-d79a-4b44-88a4-80effe2608f4,111279725301939,539356873741262
96,b6249db2-89dd-41b9-bcf7-012794399ad9,216651414634387,868422425680333
97,9ef7ca70-3922-4748-8fc4-82267e291959,365551879259500,104669675118630
98,902f265b-a87c-4b04-9ddf-af9983b47f89,527652113968657,643220381922968
99,226881f5-13cc-4f82-9211-6158ac649728,514971931966267,382780941671790
100,18be500a-81a2-48dc-bd98-740b048574c6,593590578819473,866336343332608
101,359b22da-cfdf-481f-830b-f0652614ae18,906908463886793,434345863839849
102,44850b94-23dd-4037-98a8-fd3ba752785e,599001729227310,061024247534787
103,834f0940-c09c-4e74-9354-9e62de3116f3,999022128309239,996797281056373
104,6e10935e-f0fe-4203-ba40-334654a7a850,601251093193438,616154182244593
105,efb667f6-a46e-455d-9184-9bf75f1e0e2c,716874176602961,352592995780037
106,bd59605d-bc7f-4b15-8144-9cf90329789e,122926195774127,221815159049017
107,c8e56204-2b19-4e56-87f1-16b7af6b737c,144189332636591,286008633616137
108,79a161f2-8da6-467a-82b2-92ebc7ad3c66,950552730855205,440942103615172
109,23c71f44-8dd0-444f-af51-e2743a23d2d6,442471393990095,305979814830179
110,d6b03941-181f-48f9-9028-875ffa0c8768,940503716492152,935485362902484
111,1f5162fc-69ed-418d-9fc6-7dae401aa01e,902243944827311,368171122343315
112,fe2829ed-c12c-48b3-8dc9-e36e455b3ad8,360013293522670,119003194334022
113,cff5ebfb-707c-46cc-8568-770a7d335dd9,817016493550812,542614276894933
114,aff10571-9da7-44fe-be26-9b4ed64fece6,954357144490323,127431352179836
115,64a0bd23-e6fc-4908-b85f-567921e19746,660628330150521,813331495766574
116,c104ec03-ac6b-4534-b2d6-8957afed569f,327278572245962,056236473448164
117,6f539dac-79a3-4f10-9171-ef0f7a3445a9,182374866256053,207453757801143
118,a7606c17-33e0-41d2-bf9c-468fe37d77d3,585865326098762,074957291965675
119,12520654-5dc7-45be-968a-82f2801ab1f8,301334194767000,240382804240929
120,bc7dd914-2bef-4c4a-8803-f903d9246641,806365643603484,051400533485233
121,6a8b2fc5-8a62-4dbe-8782-9082057b7714,913992588574053,305446306732857
122,938c6329-5332-4b12-9ff0-3d5160f1191b,000557706762087,101312596360848
123,ff0c90f0-e178-482e-9178-2623c2dc28b3,966197643345892,304373428486661
124,a511b00a-cd69-4f0c-8c71-dda38d4fd927,164855335242043,057708085993349
125,4f3e306a-3cbb-41ae-b1a7-13a641ca755e,432853462189597,844178652099006
126,4cf9d79b-c628-46f0-9db8-1eb3740042ee,165654690424786,015432842603262
127,44c54858-0698-4b48-a05e-0ceabce9bf58,984028976703376,645563855411396
128,feff272c-e1f9-441a-9efe-b6dcc00b74f3,710888304836820,384655084631348
129,f785fd6c-5479-4319-9801-fa8c83a7d512,804570938339797,044075177096665
130,bf141b93-1a11-49eb-bff0-aa507c3fad82,431769304376807,532382654426951
131,9c7a6825-9031-4363-acba-74468d0b78a2,260588756050375,866483794117256
132,bf17a5fc-b4fc-49fa-bf65-a7f54d3028da,761580312627794,634441826060931
133,88e5cc87-4cda-43d1-b4aa-b64e50d71408,819192301183782,451474340284074
134,e878ef9a-f017-4b1e-8a20-240d15bc3ad7,939889010171352,089099637249189
135,dfd19e73-e26f-43c9-904c-9e3f9a012142,719437596838505,131097773683991
136,6c2111ee-24fe-4aea-8d96-3639ad766152,217136261046984,965490477089253
137,4d7fb669-5e23-426b-b083-a0c6cd7513d3,562858662522277,272973387573691
138,3fa5477a-8a48-48de-9ead-6fb5585b49af,514656761272552,353783103096814
139,e8a6ece7-28fb-452b-ae45-c8e8626ebed1,085338609449441,168039294852389
140,8a929e3f-f52f-41fd-8da4-3a2324c9fe49,737467146395132,402405739393651
141,6f8d7aad-6f76-457c-bbcb-ed1b1c63f68a,207067902447263,377054004791713
142,79dfe82d-049a-48bd-b149-fcf8d2e9211e,460943206140867,261065123026005
143,43294d47-1336-4b13-9c03-f6d10fc105b9,426488160744762,193533019753694
144,88469c1f-31e4-465f-8acb-53385cef8958,055244372319117,243449665287608
145,ed33fae7-c202-48bd-a604-610b4b051704,942187537570978,921498387794818
146,13186822-2360-476e-8ca1-8b164ad0f448,949108811668869,935148056641668
147,fb92fb20-c0e4-4019-b88c-0a6bc19bd3db,221534794467920,480050897808268
148,c42ab724-8211-43c7-b0c6-9755357df572,638765906025650,818727485197120
149,e6466095-311c-4aba-88b4-b6a9cdb6a891,607165116240886,762250236943215
150,87ff4a0b-0e99-40c1-9394-273f002ef032,536471074866507,505743237888704
151,935150cc-752d-48b0-a1a1-e6d21a2e316d,854134111382300,595060860841663
152,8ce03529-dc55-4d67-8130-286bf187e806,417497060058547,185274696436786
153,1cb07285-ad50-4278-a085-564971f51796,891610459442322,463708086310409
154,94a710ad-3315-4fd6-a7be-e7bed6cc243b,510905278577107,431469309518232
155,ad817c44-42b3-446b-b210-6841efbd4500,380132433704773,522775679132818
156,9798529f-6c2a-4b25-93f5-7dbf71395fbc,140456594579958,003224087043581
157,4fdf212c-5641-4826-8877-3540201955ad,800699053057837,083307082676218
158,894a8632-727d-4450-b8fb-52140e422ea7,434551058770730,044449569583111
159,44a3c40c-28bc-428c-9e85-006f2a35568f,420583746969282,909830637247146
160,3ae703ce-209b-4bfd-84d2-5fd46909d553,066864308307909,641346474310003
161,5193b06a-431a-4921-93cf-36038d4e9b07,740967133696704,776058355472490
