,VEHICLE_IDENTIFICATION_NUMBER
0,B9GJCVCMJ54DKZVA7
1,XUDZJ41U4HFT9T8LL
2,K349YSNANZG4NCU6X
3,HFEA9GF1Y5M0V1KV5
4,2CUW5T8FWD17588R6
5,DD99R6HR9S4RTE8H3
6,Y7FANWF8G5449T1L6
7,2KVGA9WX07C76P3VF
8,ULR73YAKVD9EEAA3Z
9,JEWY1V40R4ZF9CF5G
10,6TPH62NDBXUEZ56A0
11,J5149GS8UUVLWRPJN
12,8V5AW258T0ETDK63W
13,N2UNUHHWDH4LBPKM0
14,YD8ZDLLEU77SUL221
15,Y3DBHF650TCH6E5UD
16,8CZWNCFXHZ5UAY8G8
17,U8773JG0JD95VJ8MC
18,WXFDVRP4K6EMGA0N2
19,V4KKL8W14GST6TBA5
20,W60BLX1WVMV9G7ZJB
21,3HD2B0ALKCRHVPYC4
22,VDNC9EJRPHD19C226
23,LDHSZTZ7US5Z705Y2
24,143A428LC2GUD720B
25,HKDNN40F6T176NV7Y
26,TL6UYH7JC1P3XJ6BU
27,4YN04JKTCP5TJKKJD
28,6GJLER8HU7MSH8VX1
29,1RUUDCLURTBSVNC7N
30,X5NEF0NZNNAJF8MGE
31,3A5W6JZ6MGCHY816T
32,C04WMBZUV81B801WD
33,KXNGZJ564308C3ZZK
34,E12K3ZKJSB397VJE0
35,JRG5DP9JDBVJVLVAX
36,BREABZY2XJU83KC5J
37,D6E4ELLRKNZ46SYPC
38,3L8MVNMDJG5E8WD38
39,DYUVA8B7LAZCFA4B3
40,AJGRGWKZU3R2K44PB
41,0K4NWUMW1V4CHAH75
42,5KJ8UEVL2TP7JNNWR
43,JY3E24TYT9JKZX67V
44,UYCN30X4VXJR0YE24
45,EKEEMHTSHZWM518UB
46,5ZFEP1GKWYPE29GN1
47,E8HG287TMHFSWP3D3
48,PM4GG2XE4V17RY88R
49,SYE4FSAYP7E6S6D5B
50,5HM1BJVJAA10BXH1E
51,BGYWR7TKEDY459PLE
52,UUW25ZNV9X5N3ZK9L
53,8P5NNNAP4F38LG89S
54,7PKXL7806KW3GRLUD
55,S6PJNZE9X6VFDP4DG
56,25ABHRDLVRD76WGCA
57,G2GSWVTFMWJRSFCV9
58,V17RLL81X2U58HFU1
59,RYYTHRM61ZW7KTN5A
60,2GNU4GVRWNW6YEYJD
61,BB2BMP2BWRVD77DP3
62,WP9610K5J2VL00FCR
63,WS9E0KHJ3PERBNP75
64,49XXSEPD0NKJVJW5S
65,XD1XTMN8CAL76M3K7
66,2R98AEGGUMZU1259K
67,EN10AXK8YSTDFH128
68,0XFXEAZN46J3JNZWA
69,0EZNPBZDXMPUJRXC0
70,SE7YZDYZZD189X60V
71,TVSE9UJHC3M6KUE2M
72,0PT3V0TTXJFY686ZS
73,C245ZJHEK6G2N46FB
